name,parent,value
Origin,,
Sicilian Defense,Origin,25033
French Defense,Origin,12565
Queen's Pawn Game,Origin,10508
Scandinavian Defense,Origin,9022
English Opening,Origin,7487
King's Pawn Game,Origin,6698
Caro-Kann Defense,Origin,6441
Italian Game,Origin,6022
Modern Defense,Origin,5054
Ruy Lopez,Origin,4814
