name,value,parent
Sicilian Defense,19872,Origin
French Defense,13627,Origin
Queen's Pawn Game,10151,Origin
King's Pawn Game,8635,Origin
Scandinavian Defense,8322,Origin
Caro-Kann Defense,5995,Origin
Italian Game,5529,Origin
English Opening,5518,Origin
Van't Kruijs Opening,5211,Origin
Modern Defense,5194,Origin
Origin,,
