name,value,parent
Sicilian Defense,22876,Origin
French Defense,13002,Origin
Scandinavian Defense,9093,Origin
Queen's Pawn Game,8897,Origin
Caro-Kann Defense,6988,Origin
English Opening,6505,Origin
King's Pawn Game,6458,Origin
Italian Game,5359,Origin
Modern Defense,4796,Origin
Hungarian Opening,4499,Origin
