Date	Result	WhiteElo	BlackElo	Opening	Moves
2017.04.30	0-1	1926	1969	Scandinavian Defense: Modern Variation #2	1. e4 d5 2. exd5 Nf6 3. d3 Qxd5 4. Nc3 Qf5
2017.04.30	1-0	1592	1427	Mieses Opening	1. d3 e6 2. e3 d5 3. Nf3 Nf6 4. Be2 Be7
2017.04.30	1-0	1247	1174	Blackmar-Diemer Gambit	1. d4 d5 2. e4 dxe4 3. c4 Nf6 4. Qc2 Bf5
2017.04.30	1-0	2047	2009	Van't Kruijs Opening	1. e3 c5 2. d3 d5 3. Nf3 Nc6 4. Be2 Nf6
2017.04.30	1-0	1767	1781	Scandinavian Defense: Mieses-Kotroc Variation	1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd8 4. d4 Bf5
2017.04.30	0-1	1773	1780	Scandinavian Defense: Mieses-Kotroc Variation	1. e4 d5 2. exd5 Qxd5 3. Nf3 Qd8 4. Nc3 e6
2017.04.30	0-1	1347	1410	Scandinavian Defense: Mieses-Kotroc Variation	1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd8 4. Nf3 e6
2017.04.30	0-1	1424	1422	Alekhine Defense #2	1. e4 Nf6 2. e5 Nd5 3. d4 c6 4. Nf3 e6
2017.04.30	1-0	1847	1850	Mieses Opening	1. d3 Nf6 2. Nf3 d6 3. g3 Nbd7 4. Bg2 g6
2017.04.30	1-0	1626	1499	King's Pawn	1. e4
2017.04.30	0-1	1878	1917	English Defense	1. d4 e6 2. c4 b6 3. Nc3 Bb7 4. e4 Bb4
2017.04.30	0-1	1780	1844	Semi-Slav Defense: Accelerated Move Order	1. d4 e6 2. c4 d5 3. Nc3 c6 4. Bf4 Nf6
2017.04.30	1-0	1685	1688	King's Gambit Declined, Queen's Knight Defense	1. e4 e5 2. f4 Nc6 3. Nf3 Nf6 4. c3 d5
2017.04.30	0-1	2028	2111	Scandinavian Defense: Main Line, Mieses Variation	1. e4 d5 2. exd5 Qxd5 3. Nc3 Qa5 4. d4 Nf6
2017.04.30	1-0	1663	1679	Italian Game: Two Knights Defense, Traxler Counterattack	1. e4 e5 2. Nf3 Nc6 3. Bc4 Nf6 4. Ng5 Bc5
2017.04.30	1-0	1695	1651	Sicilian Defense: Mengarini Variation	1. e4 c5 2. a3 d6 3. Nc3 Nc6 4. Bc4 f6
2017.04.30	1-0	1777	1782	Caro-Kann Defense: Advance Variation	1. e4 c6 2. d4 d5 3. e5 Bf5 4. Bd3 Bxd3
2017.04.30	1-0	1433	1412	Queen's Pawn	1. d4
2017.04.30	0-1	1350	1294	Ruy Lopez: Steinitz Defense	1. e4 e5 2. Nf3 Nc6 3. Bb5 d6 4. Bxc6+ bxc6
