Date	Result	WhiteElo	BlackElo	Opening	Moves
2018.03.31	1-0	1669	1615	Van't Kruijs Opening	1. e3 c5 2. d3 Nc6 3. Nf3 Qc7 4. Be2 a6
2018.03.31	0-1	1539	1627	Russian Game: French Attack	1. e4 e5 2. Nf3 Nf6 3. Nxe5 d6 4. Nf3 Nxe4
2018.03.31	0-1	1498	1497	King's Gambit Accepted, King's Knight Gambit	1. e4 e5 2. f4 exf4 3. Nf3 g5 4. Bc4 d6
2018.03.31	0-1	1395	1398	Indian Game	1. d4 Nf6 2. Nc3 e6 3. Bf4 Be7 4. Nf3 O-O
2018.03.31	1-0	1500	1535	Scandinavian Defense	1. e4 d5 2. d3 dxe4 3. d4 Nc6 4. Bb5 Qxd4
2018.03.31	0-1	1316	1301	Four Knights Game: Italian Variation	1. e4 e5 2. Nf3 Nc6 3. Bc4 Nf6 4. Nc3 Bb4
2018.03.31	0-1	1187	984	Russian Game: Three Knights Game	1. e4 e5 2. Nf3 Nf6 3. Nc3 Bd6 4. d4 Be7
2018.03.31	1-0	1382	1366	Anderssen Opening	1. a3 e5 2. e3 d5 3. d3 Nc6 4. Bd2 Nf6
2018.03.31	1-0	1473	1486	Queen's Pawn Game: Zukertort Variation	1. d4 d5 2. Nf3 Bf5 3. Bg5 f6 4. Bh4 e6
2018.03.31	1-0	1416	1450	Sicilian Defense: Closed Variation	1. e4 c5 2. Nc3 e5 3. a4 Nf6 4. Bc4 a6
2018.03.31	1-0	1567	1541	Philidor Defense: Exchange Variation #2	1. e4 e5 2. Nf3 d6 3. d4 exd4 4. Nxd4 c5
2018.03.31	1-0	1323	1341	Caro-Kann Defense: Euwe Attack	1. e4 c6 2. b3 d5 3. exd5 cxd5 4. Bb2 Nc6
2018.03.31	0-1	1936	2020	Zukertort Opening: Sicilian Invitation	1. Nf3 c5 2. d4 cxd4 3. Nxd4 Nf6 4. Nc3 g6
2018.03.31	0-1	1797	1773	Van't Kruijs Opening	1. e3 d5 2. c3 Nf6 3. d4 e6 4. Be2 b6
2018.03.31	1-0	2011	2103	Grünfeld Defense: Three Knights Variation, Hungarian Variation	1. d4 Nf6 2. c4 g6 3. Nc3 d5 4. Bf4 Bg7
2018.03.31	0-1	1661	1965	Anderssen Opening	1. a3 g6 2. b3 Nf6 3. Nc3 Bg7 4. Bb2 O-O
2018.03.31	0-1	1554	1514	French Defense: Advance Variation, Nimzowitsch System	1. e4 e6 2. Nf3 d5 3. e5 c5 4. d4 Nc6
2018.03.31	1-0	1471	1442	Sicilian Defense	1. e4 c5 2. Nf3 d6 3. Bc4 e6 4. d4 cxd4
2018.03.31	1-0	1472	1486	Queen's Pawn Game #3	1. d4 Nf6 2. e3 d5 3. f3 g6 4. b3 Bg7
2018.03.31	0-1	1347	1335	Sicilian Defense: Alapin Variation	1. e4 c5 2. c3 Nc6 3. h3 d6 4. Nf3 Nf6
2018.03.31	0-1	1309	1310	Sicilian Defense: Staunton-Cochrane Variation	1. e4 c5 2. c4 d6 3. Nf3 Nc6 4. Be2 e5
2018.03.31	0-1	2166	2252	English Opening: Great Snake Variation	1. c4 g6 2. Nc3 Bg7 3. h4 Nf6 4. d4 c5
