Date	Result	WhiteElo	BlackElo	Opening	Moves
2016.11.30	0-1	1525	1539	French Defense #2	1. e4 e6 2. Qf3 d5 3. exd5 exd5 4. Bb5+ Nc6
2016.11.30	1-0	1989	1958	Benoni Defense: Old Benoni	1. d4 c5 2. d5 d6 3. Nc3 Nf6 4. e4 g6
2016.11.30	0-1	1769	1764	French Defense: Exchange Variation	1. e4 e6 2. d4 d5 3. exd5 exd5 4. Nf3 Nf6
2016.11.30	0-1	2054	2070	Sicilian Defense: Open	1. e4 c5 2. Nf3 Nc6 3. d4 cxd4 4. Nxd4 Nf6
2016.11.30	1-0	1404	1251	Hungarian Opening	1. g3 e5 2. Bg2 d6 3. Nf3 c6 4. O-O b6
2016.11.30	1-0	1662	1685	Van't Kruijs Opening	1. e3 f5 2. d4 Nf6 3. Bd3 e6 4. c4 c5
2016.11.30	0-1	1500	1526	Philidor Defense #2	1. e4 e5 2. Nf3 d6 3. Nc3 Nc6 4. b3 Nf6
2016.11.30	0-1	1178	1520	Scandinavian Defense	1. e4 d5 2. d3 d4 3. Nf3 Nc6 4. h3 e5
2016.11.30	1-0	1701	1785	Old Indian Defense	1. d4 d6 2. c4 e6 3. Nc3 Nf6 4. Bg5 h6
2016.11.30	1-0	1685	1731	Vienna Game: Zhuravlev Countergambit #2	1. e4 e5 2. Nc3 Bb4 3. d3 Bxc3+ 4. bxc3 h6
2016.11.30	1/2-1/2	2075	1999	Yusupov-Rubinstein System	1. d4 Nf6 2. e3 e6 3. Nf3 Be7 4. Bd3 O-O
2016.11.30	0-1	1796	1829	Mieses Opening	1. d3 d5 2. e4 dxe4 3. Be3 exd3 4. Bxd3 Nf6
2016.11.30	1-0	1585	1554	Scandinavian Defense: Blackburne Gambit	1. e4 d5 2. exd5 c6 3. dxc6 Nxc6 4. Bb5 Nf6
2016.11.30	1-0	1566	1576	Slav Defense: Geller Gambit #2	1. d4 Nf6 2. c4 c6 3. Nc3 d5 4. Nf3 dxc4
2016.11.30	1-0	1856	1869	Pirc Defense	1. e4 d6 2. d4 Nf6 3. f4 Nxe4 4. Bd3 Nf6
2016.11.30	1-0	2285	2158	Queen's Gambit Refused: Chigorin Defense, Janowski Variation	1. d4 d5 2. c4 Nc6 3. Nf3 dxc4 4. Nc3 Bg4
2016.11.30	1-0	1917	1855	Nimzowitsch Defense: Lean Variation, Colorado Counter Accepted	1. e4 Nc6 2. Nf3 f5 3. exf5 d5 4. Nc3 Bxf5
2016.11.30	1-0	1788	1788	Scandinavian Defense: Main Line	1. e4 d5 2. exd5 Qxd5 3. Nc3 Qa5 4. f4 Nf6
2016.11.30	0-1	1635	1602	Owen Defense	1. e4 b6 2. Nf3 Bb7 3. Nc3 d6 4. d4 Nd7
2016.11.30	1-0	1893	1882	Indian Game	1. d4 Nf6 2. Bf4 d5 3. e3 e6 4. Nd2 c5
2016.11.30	1/2-1/2	1705	1634	Sicilian Defense: Modern Variations, Anti-Qxd4 Move Order	1. e4 c5 2. Nf3 d6 3. d4 Nf6 4. dxc5 Qa5+
2016.11.30	1-0	1934	1906	Philidor Defense #3	1. e4 e5 2. Nf3 d6 3. Bc4 Be6 4. Bxe6 fxe6
2016.11.30	1-0	1948	1947	Italian Game: Two Knights Defense, Polerio Defense, Bogoljubov Variation	1. e4 e5 2. Nf3 Nc6 3. Bc4 Nf6 4. Ng5 d5
2016.11.30	1-0	1802	1783	Queen's Pawn	1. d4
2016.11.30	1-0	1873	1876	Polish Opening: Czech Defense	1. b4 e5 2. Bb2 d6 3. c4 Nf6 4. Nf3 Bf5
2016.11.30	1-0	1625	1577	Pirc Defense: Roscher Gambit	1. e4 d6 2. Nf3 Nf6 3. d4 g6 4. Nbd2 Bg7
2016.11.30	1-0	2245	2174	Hungarian Opening: Dutch Defense	1. g3 f5 2. Bg2 Nf6 3. d3 e5 4. Nf3 d6
2016.11.30	0-1	1741	1752	Alekhine Defense: Maroczy Variation	1. e4 Nf6 2. d3 e5 3. Be2 Nc6 4. Nf3 g6
2016.11.30	1-0	1904	1836	English Opening: King's English Variation, Reversed Sicilian	1. c4 e5 2. Nc3 Bc5 3. Nf3 d6 4. e3 Bg4
2016.11.30	0-1	1551	1551	English Defense #2	1. d4 b6 2. c4 Bb7 3. Nc3 g6 4. e4 Bg7
2016.11.30	1-0	1807	1798	Old Benoni Defense	1. d4 c5 2. Nf3 g6 3. Bf4 Nf6 4. e3 Bg7
2016.11.30	1-0	1707	1624	Queen's Gambit Accepted	1. d4 d5 2. c4 dxc4 3. Nc3 a6 4. e3 b5
2016.11.30	1-0	1621	1523	Vienna Game	1. e4 e5 2. Nc3 d6 3. Bc4 Nf6 4. d3 Be7
2016.11.30	1-0	1701	1687	Saragossa Opening	1. c3 Nf6 2. d3 g6 3. Qc2 Bg7 4. h3 d6
2016.11.30	1-0	1626	1750	Scandinavian Defense	1. e4 d5 2. e5 d4 3. Nf3 c5 4. Bc4 e6
2016.11.30	1-0	2005	1299	Van't Kruijs Opening	1. e3 c6 2. Be2 d5 3. h4 Nf6 4. h5 Bf5
2016.11.30	0-1	1527	1214	Blackmar-Diemer Gambit: von Popiel Gambit	1. e4 d5 2. d4 dxe4 3. Nc3 Nf6 4. Bg5 e6
2016.11.30	1-0	1829	1374	French Defense: Tarrasch Variation, Open System, Suechting Line	1. e4 e6 2. d4 d5 3. Nd2 c5 4. c3 c4
2016.11.30	1-0	1476	1389	King's Knight Opening	1. e4 e5 2. Nf3 Bd6 3. g3 f6 4. Bg2 Nh6
2016.11.30	1-0	1785	1916	Blackmar-Diemer Gambit	1. d4 d5 2. e4 dxe4 3. Nc3 Nf6 4. Nge2 Bf5
2016.11.30	0-1	1434	1761	Mieses Opening	1. d3 d5 2. e3 e5 3. Bd2 c6 4. Be2 Nd7
2016.11.30	0-1	1204	1785	Sicilian Defense	1. e4 c5 2. Nf3 d6 3. Nc3 Bg4 4. Ne2 Nf6
2016.11.30	0-1	1556	1850	French Defense: Knight Variation	1. e4 e6 2. Nf3 Be7 3. d4 d5 4. e5 c5
2016.11.30	1-0	1776	1363	Bishop's Opening	1. e4 e5 2. Bc4 b6 3. Qh5 g6 4. Qxe5+ Qe7
2016.11.30	0-1	1509	1615	Sicilian Defense: Bowdler Attack	1. e4 c5 2. Bc4 d6 3. Qf3 Nf6 4. e5 dxe5
2016.11.30	1-0	1589	874	Rat Defense: Small Center Defense	1. e4 d6 2. d4 e6 3. f4 b6 4. Nf3 c5
2016.11.30	1-0	1564	1480	Modern Defense	1. d4 g6 2. c4 Bg7 3. Nc3 e6 4. e4 b6
2016.11.30	1/2-1/2	1997	1956	Indian Game	1. d4 Nf6 2. Bf4 d5 3. e3 c5 4. c3 Qb6
