Date	Result	WhiteElo	BlackElo	Opening	Moves
2020.08.01	0-1	1389	1812	Van't Kruijs Opening	1. e3 e6 2. d3 d6 3. Nf3 Be7 4. Nc3 Nf6
2020.08.01	1-0	1989	1500	Queen's Pawn	1. d4
2020.08.01	1-0	1500	2101	Queen's Pawn	1. d4
2020.08.01	1-0	1464	1578	Englund Gambit Declined, Reversed French	1. e3 e5 2. d4 d5 3. dxe5 Bb4+ 4. Bd2 Bxd2+
2020.08.01	1-0	1580	1413	Nimzowitsch Defense: Scandinavian Variation, Advance Variation	1. e4 d5 2. e5 Nc6 3. d4 Bg4 4. Qxg4 Nb4
2020.08.01	1-0	2413	2150	Ware Opening	1. a4 d5 2. h4 Bg4 3. h5 e5 4. d3 Nf6
2020.08.01	1/2-1/2	1742	1065	Italian Game	1. e4 e5 2. Nf3 Nc6 3. Bc4 d6 4. Nc3 Be6
2020.08.01	0-1	911	1458	King's Pawn Game: Tortoise Opening	1. e4 e5 2. Bd3 Nc6 3. Nc3 Nf6 4. Nf3 Bb4
2020.08.01	1-0	1056	1615	English Opening	1. c4 b6 2. Nc3 e5 3. g3
2020.08.01	1-0	1602	1044	Modern Defense	1. e4 g6 2. Bc4 Nh6 3. Qf3 Bg7 4. d3 d6
2020.08.01	0-1	1108	1793	Scandinavian Defense	1. e4 d5 2. Nc3 d4 3. Nb5 c6 4. Na3 e5
2020.08.01	0-1	1212	1892	Three Knights Opening	1. e4 e5 2. Nf3 Nc6 3. Nc3 d6 4. d3 Be6
2020.08.01	1-0	1947	1213	English Opening: King's English Variation, Reversed Closed Sicilian	1. c4 e5 2. Nc3 Nc6 3. g3 Nf6 4. Bg2 d6
2020.08.01	1-0	1861	1210	Italian Game: Classical Variation, Giuoco Pianissimo	1. e4 e5 2. Nf3 Nc6 3. Bc4 Bc5 4. c3 Nf6
2020.08.01	1-0	1258	1974	Sicilian Defense: French Variation	1. e4 c5 2. Nf3 e6 3. Bc4 a6 4. O-O Nc6
2020.08.01	1-0	1828	1602	French Defense: Normal Variation	1. e4 e6 2. d4 Be7 3. Nc3 a6 4. d5 e5
2020.08.01	0-1	1617	1840	French Defense: Advance Variation, Paulsen Attack	1. e4 e6 2. Nf3 d5 3. e5 c5 4. d4 Nc6
2020.08.01	1-0	1848	1634	King's Pawn	1. e4
2020.08.01	0-1	1690	1878	Queen's Pawn Game	1. d4 d5 2. e3 e6 3. b3 Bd6 4. Bb2 Ne7
2020.08.01	1-0	2192	1744	King's Indian Defense	1. d4 Nf6 2. c4 g6 3. Nc3 Bg7 4. h4 d6
2020.08.01	1-0	2463	2014	Queen's Pawn Game: Zukertort Variation	1. d4 d5 2. Nf3 c6 3. g3 Nf6 4. Bg2 Bf5
2020.08.01	0-1	1991	2215	Indian Game: Tartakower Attack	1. d4 Nf6 2. g3 g6 3. h4 h5 4. Bg2 Bg7
2020.08.01	1-0	2165	2664	Queen's Pawn	1. d4
2020.08.01	1-0	1384	1848	French Defense: Tarrasch Variation, Pawn Center Variation	1. e4 e6 2. d4 d5 3. Nd2 Nf6 4. e5 Nfd7
2020.08.01	1-0	1832	1231	King's Pawn	1. e4
