Date	Result	WhiteElo	BlackElo	Opening	Moves
2017.08.31	1-0	1106	971	Scandinavian Defense	1. e4 d5 2. Qf3 c6 3. c3 Nd7 4. d4 c5
2017.08.31	1-0	1778	1795	French Defense: Knight Variation	1. e4 e6 2. Nf3 d5 3. exd5 exd5 4. d4 Nf6
2017.08.31	1-0	1764	1640	Modern Defense	1. d4 g6 2. c4 Bg7 3. Nf3 c5 4. Nc3 cxd4
2017.08.31	0-1	1729	1854	French Defense: Rubinstein Variation, Blackburne Defense	1. e4 e6 2. d4 d5 3. Nd2 dxe4 4. Nxe4 Nd7
2017.08.31	1-0	1701	1397	Queen's Pawn Game #2	1. d4 d5 2. e3 e6 3. Bd3 Bb4+ 4. c3 Bd6
2017.08.31	1-0	1559	1608	Hungarian Opening: Symmetrical Variation	1. g3 g6 2. Bg2 Bg7 3. c3 c5 4. Qb3 Nc6
2017.08.31	1-0	1512	1494	Indian Game	1. d4 Nf6 2. e3 g6 3. Be2 Bg7 4. Bf3 O-O
2017.08.31	0-1	1722	1692	King's Gambit Accepted, MacLeod Defense	1. e4 e5 2. f4 Nc6 3. Nf3 exf4 4. d4 Nf6
2017.08.31	1-0	1896	1800	Catalan Opening: Closed Variation	1. d4 d5 2. c4 Nf6 3. g3 e6 4. Bg2 c6
2017.08.31	0-1	1669	1785	Sicilian Defense: Grand Prix Attack	1. e4 c5 2. Nc3 Nc6 3. f4 e6 4. Nf3 d5
2017.08.31	0-1	1943	1958	Semi-Slav Defense: Accelerated Move Order	1. d4 d5 2. c4 c6 3. Nc3 e6 4. Nf3 Nd7
2017.08.31	1-0	1977	1950	Modern Defense	1. d4 g6 2. c4 Bg7 3. Nc3 d6 4. Nf3 Nc6
2017.08.31	1-0	1606	1637	Blackmar-Diemer Gambit	1. d4 d5 2. e4 Nf6 3. e5 Nfd7 4. e6 fxe6
2017.08.31	1-0	1805	1789	King's Pawn Game: Maroczy Defense	1. e4 e5 2. d4 d6 3. c3 exd4 4. Bc4 Nf6
2017.08.31	1-0	1554	1545	Zukertort Opening: Tennison Gambit	1. e4 d5 2. Nf3 dxe4 3. Ng5 f6 4. Nxe4 e5
2017.08.31	1-0	1980	2007	Italian Game: Two Knights Defense, Polerio Defense, Suhle Defense	1. e4 e5 2. Nf3 Nc6 3. Bc4 Nf6 4. Ng5 d5
2017.08.31	1-0	1455	1473	King's Gambit Accepted, MacLeod Defense	1. e4 e5 2. f4 exf4 3. Nf3 Nc6 4. Bc4 Nf6
2017.08.31	1-0	1863	1833	Queen's Pawn Game: Anglo-Slav Opening	1. d4 c6 2. c4 d6 3. e3 Qa5+ 4. Bd2 Qb6
2017.08.31	0-1	2198	2067	Queen's Pawn Game: London System	1. d4 d5 2. Nf3 Nf6 3. Bf4 Bf5 4. e3 e6
2017.08.31	1-0	1920	1913	Gunderam Defense	1. e4 e5 2. Nf3 Qe7 3. Bc4 h6 4. d4 d6
