name,value,parent
Sicilian Defense,23582,Origin
French Defense,12792,Origin
Queen's Pawn Game,9425,Origin
Scandinavian Defense,8831,Origin
King's Pawn Game,7292,Origin
English Opening,6935,Origin
Caro-Kann Defense,6669,Origin
Italian Game,5765,Origin
Modern Defense,4602,Origin
Ruy Lopez,4588,Origin
Origin,,
