Date	Result	WhiteElo	BlackElo	Opening	Moves
2020.05.01	0-1	2028	2028	French Defense: Knight Variation	1. e4 e6 2. Nf3 d5 3. exd5 exd5 4. d4 Bd6
2020.05.01	1-0	1886	1995	King's Knight Opening: Normal Variation	1. e4 e5 2. Nf3 Nc6 3. d3 f5 4. Be2 Nf6
2020.05.01	0-1	2151	2201	Evans Gambit, McDonnell Defense	1. e4 e5 2. Nf3 Nc6 3. Bc4 Bc5 4. b4 Bxb4
2020.05.01	0-1	2147	2184	Semi-Slav Defense	1. d4 d5 2. Nf3 Nf6 3. c4 c6 4. Nc3 e6
2020.05.01	0-1	2032	2035	Slav Defense: Exchange Variation	1. d4 d5 2. c4 c6 3. cxd5 cxd5 4. Nc3 Bf5
2020.05.01	0-1	2006	2019	English Opening: The Whale	1. e4 e5 2. c4 Qe7 3. Nc3 c6 4. g3 d6
2020.05.01	1-0	2103	2104	Czech Defense	1. e4 d6 2. d4 c6 3. Nc3 Nf6 4. f3 g6
2020.05.01	1-0	2133	2126	Sicilian Defense: Hyperaccelerated Pterodactyl	1. e4 g6 2. Nf3 Bg7 3. d4 c5 4. c3 cxd4
2020.05.01	1-0	1846	1847	Caro-Kann Defense	1. e4 c6 2. d4 d6 3. f3 e6 4. Nc3 Qc7
2020.05.01	1-0	2041	2037	Van't Kruijs Opening	1. e3 c5 2. b3 d5 3. Bb2 Nf6 4. f4 Nc6
2020.05.01	1-0	2333	2233	Sicilian Defense: Alapin Variation, Barmen Defense	1. e4 c5 2. c3 d5 3. exd5 Qxd5 4. Nf3 Bg4
2020.05.01	1-0	2111	2110	Indian Game	1. d4 Nf6 2. Bf4 g6 3. e3 d5 4. Be2 c5
2020.05.01	0-1	1749	1819	English Defense	1. d4 b6 2. Nf3 Bb7 3. c4 g6 4. Nc3 Bg7
2020.05.01	1-0	990	1026	Queen's Gambit Accepted: Central Variation, Modern Defense	1. d4 d5 2. c4 dxc4 3. e4 Nc6 4. Nf3 g6
2020.05.01	1-0	1416	1325	Indian Game	1. d4 Nf6 2. Bf4 d5 3. e3 Bf5 4. c3 e6
2020.05.01	0-1	1500	1473	Modern Defense	1. d4 g6 2. Bd2 Bg7 3. Bc3 b6 4. Bb4 Bb7
2020.05.01	0-1	1983	2015	Indian Game	1. d4 Nf6 2. Bf4 d5 3. Nd2 c5 4. c3 Nc6
2020.05.01	0-1	1878	1874	Scandinavian Defense: Mieses-Kotroc Variation	1. e4 d5 2. exd5 Qxd5 3. d4 Qd8 4. c4 Nf6
