name,value,parent
Sicilian Defense,19427,Origin
French Defense,13159,Origin
Queen's Pawn Game,10327,Origin
King's Pawn Game,9338,Origin
Scandinavian Defense,8213,Origin
Italian Game,6943,Origin
Van't Kruijs Opening,6188,Origin
English Opening,6039,Origin
Caro-Kann Defense,5915,Origin
Bishop's Opening,5127,Origin
