Date	Result	WhiteElo	BlackElo	Opening	Moves
2017.03.31	1-0	2186	1907	King's Gambit Accepted, Schallopp Defense	1. e4 e5 2. f4 exf4 3. Nf3 Nf6 4. e5 Nh5
2017.03.31	1-0	1385	1339	King's Gambit Accepted, King's Knight Gambit	1. e4 e5 2. f4 exf4 3. Nf3 Bc5 4. d4 Bb6
2017.03.31	1-0	1905	1836	Ruy Lopez: Schliemann Defense, Schoenemann Attack	1. e4 e5 2. Nf3 Nc6 3. Bb5 f5 4. d4 fxe4
2017.03.31	0-1	1670	1812	Hungarian Opening	1. g3 b6 2. Nf3 Bb7 3. Bg2 e6 4. O-O Be7
2017.03.31	0-1	988	1145	Van't Kruijs Opening	1. e3 e5 2. Nf3 Nc6 3. Nc3 h6 4. d4 exd4
2017.03.31	0-1	1367	1396	Hungarian Opening	1. g3 Nc6 2. Bg2 e5 3. Bxc6 dxc6 4. b3 Be6
2017.03.31	1-0	1683	1832	French Defense: Knight Variation	1. e4 e6 2. Nf3 d5 3. exd5 exd5 4. d4 Nf6
2017.03.31	0-1	1515	1576	Caro-Kann Defense: Accelerated Panov Attack #2	1. c4 c6 2. e4 d5 3. cxd5 cxd5 4. e5 Bf5
2017.03.31	1-0	1822	1885	Ruy Lopez: Classical Variation, Central Variation	1. e4 e5 2. Nf3 Nc6 3. Bb5 Bc5 4. c3 a6
2017.03.31	0-1	1766	1768	French Defense: Winawer Variation, Advance Variation	1. e4 e6 2. d4 d5 3. Nc3 Bb4 4. e5 Bxc3+
2017.03.31	1-0	1477	1553	King's Pawn	1. e4
2017.03.31	0-1	1967	1957	King's Indian Defense: Four Pawns Attack	1. d4 d6 2. c4 Nf6 3. Nc3 g6 4. e4 Bg7
2017.03.31	0-1	1381	1313	Queen's Pawn Game #2	1. d4 d5 2. e3 e6 3. c4 Nf6 4. c5 c6
2017.03.31	1-0	1582	1580	Alekhine Defense: Two Pawn Attack	1. e4 Nf6 2. e5 Nd5 3. c4 Nb6 4. a4 a5
2017.03.31	0-1	1455	1488	Nimzo-Larsen Attack: Classical Variation	1. b3 d5 2. Bb2 Nc6 3. Nf3 d4 4. g3 e5
2017.03.31	0-1	1538	1525	Modern Defense	1. e4 g6 2. d4 c5 3. dxc5 e5 4. c3 Bxc5
2017.03.31	0-1	1849	1834	King's Indian Defense: Normal Variation, Rare Defenses	1. d4 Nf6 2. c4 g6 3. Nc3 d6 4. e4 Bg7
2017.03.31	1-0	1801	1815	Torre Attack #2	1. d4 Nf6 2. Nf3 Nc6 3. Bf4 d6 4. e3 g6
2017.03.31	1-0	1779	1787	King's Pawn	1. e4
2017.03.31	1/2-1/2	1557	1570	Slav Indian	1. d4 Nf6 2. c4 c6 3. Nc3 d5 4. cxd5 cxd5
2017.03.31	1-0	1479	1420	Rat Defense: Harmonist	1. f4 d6 2. e4 g6 3. g3 Bg7 4. Nf3 Nf6
2017.03.31	1-0	1609	1631	Van't Kruijs Opening	1. e3 Nf6 2. c3 e6 3. Nf3 Be7 4. Bc4 d5
2017.03.31	1-0	1481	1498	Ruy Lopez: Steinitz Defense	1. e4 e5 2. Nf3 Nc6 3. Bb5 d6 4. O-O h6
2017.03.31	1-0	1422	1424	Caro-Kann Defense: Advance Variation	1. e4 c6 2. d4 d5 3. e5 f6 4. Nc3 fxe5
2017.03.31	1-0	1707	1704	Ruy Lopez: Steinitz Defense	1. e4 e5 2. Nf3 Nc6 3. Bb5 d6 4. d4 exd4
2017.03.31	1-0	1411	1419	Zukertort Opening: Queen's Gambit Invitation	1. Nf3 e6 2. g3 Bd6 3. Bg2 f5 4. O-O Nc6
2017.03.31	1-0	1685	1675	Slav Defense: Schlechter Variation	1. d4 d5 2. c4 c6 3. Nc3 Nf6 4. Nf3 g6
2017.03.31	0-1	1567	1566	Italian Game: Anti-Fried Liver Defense	1. e4 e5 2. Nf3 Nc6 3. Bc4 h6 4. Nc3 Nf6
2017.03.31	0-1	1712	1735	Sicilian Defense: Godiva Variation	1. e4 c5 2. Nf3 Nc6 3. d4 cxd4 4. Nxd4 Qb6
2017.03.31	1-0	1714	1702	East Indian Defense	1. d4 Nf6 2. Nf3 g6 3. b4 Bg7 4. Bb2 O-O
2017.03.31	0-1	1885	1865	Ruy Lopez	1. e4 e5 2. Nf3 Nc6 3. Bb5 a6 4. Bc4 b5
2017.03.31	1-0	1960	1977	Nimzo-Indian Defense #2	1. d4 Nf6 2. c4 e6 3. Nc3 b6 4. e4 Bb4
2017.03.31	0-1	1825	1816	Dutch Defense	1. d4 f5 2. Nf3 e6 3. e3 d5 4. Be2 c6
2017.03.31	0-1	1942	1946	Sicilian Defense	1. e4 c5 2. Nf3 d6 3. Bc4 Nc6 4. c3 e6
2017.03.31	0-1	1760	1769	French Defense: Knight Variation	1. e4 e6 2. Nf3 d5 3. exd5 exd5 4. d4 Nc6
2017.03.31	0-1	2059	2046	Scotch Game: Scotch Gambit, Advance Variation	1. e4 e5 2. Nf3 Nc6 3. d4 exd4 4. Bc4 Nf6
2017.03.31	0-1	1444	1420	Scotch Game	1. e4 e5 2. Nf3 Nc6 3. d4 exd4 4. Nxd4 Nxd4
2017.03.31	1-0	1259	1274	Kadas Opening	1. h4
2017.03.31	1/2-1/2	1501	1511	Grob Opening	1. g4 e6 2. d3 Nc6 3. a3 Be7 4. Nc3 a6
2017.03.31	1-0	1569	1499	King's Pawn	1. e4
2017.03.31	1-0	1564	1642	Pirc Defense #3	1. e4 d6 2. d4 Nf6 3. Nc3 g6 4. Bd3 Bg7
2017.03.31	1-0	1633	1630	Modern Defense	1. d4 g6 2. e3 Bg7 3. Nf3 d6 4. c4 e6
2017.03.31	1-0	1767	1786	French Defense: Advance Variation, Milner-Barry Gambit	1. e4 e6 2. d4 d5 3. e5 c5 4. c3 Qb6
2017.03.31	0-1	2266	2432	Modern Defense	1. d4 g6 2. c4 Bg7 3. Nf3 c5 4. d5 b5
2017.03.31	0-1	2248	2174	Indian Game	1. d4 Nf6 2. c3 g6 3. Nd2 Bg7 4. e4 O-O
2017.03.31	1-0	1737	1751	Nimzo-Larsen Attack	1. b3 f6 2. Bb2 e5 3. g3 d5 4. Bg2 c6
2017.03.31	1-0	2111	2089	Zukertort Opening: Kingside Fianchetto	1. Nf3 g6 2. c4 Bg7 3. g3 c5 4. Bg2 Nc6
2017.03.31	0-1	2125	2148	Sicilian Defense	1. e4 c5 2. e5 Nc6 3. Nf3 g6 4. c3 Bg7
2017.03.31	1-0	2207	2311	Benoni Defense: Classical Variation, Full Line	1. d4 Nf6 2. c4 c5 3. d5 e6 4. Nc3 exd5
2017.03.31	0-1	1488	1503	Alekhine Defense: Normal Variation	1. e4 Nf6 2. e5 Nd5 3. Nf3 e6 4. d4 c5
2017.03.31	0-1	1520	1538	Queen's Pawn Game: Mason Attack	1. d4 d5 2. Bf4 Bf5 3. e3 e6 4. c3 Nf6
2017.03.31	0-1	1403	1382	Russian Game: Three Knights Game	1. e4 e5 2. Nf3 Nf6 3. Nc3 Bb4 4. Bc4 O-O
2017.03.31	1-0	2275	2236	Indian Game: Polish Variation	1. d4 Nf6 2. Nf3 b5 3. g3 Bb7 4. Bg2 e6
2017.03.31	0-1	1609	1599	Zukertort Opening: Tennison Gambit	1. e4 d5 2. Nf3 dxe4 3. Ng5 Bf5 4. d3 exd3
2017.03.31	0-1	1811	1819	Semi-Slav Defense: Accelerated Move Order	1. d4 d5 2. c4 c6 3. Nc3 e6 4. e3 Bb4
2017.03.31	0-1	2037	2023	Sicilian Defense: Wing Gambit	1. e4 c5 2. b4 c4 3. Bxc4 e6 4. c3 Nc6
