name,parent,value
Origin,,
Sicilian Defense,Origin,23119
French Defense,Origin,13013
Queen's Pawn Game,Origin,9524
Scandinavian Defense,Origin,9474
King's Pawn Game,Origin,7017
Caro-Kann Defense,Origin,6609
Italian Game,Origin,6484
English Opening,Origin,6343
Ruy Lopez,Origin,5473
Modern Defense,Origin,4368
