Date	Result	WhiteElo	BlackElo	Opening	Moves
2013.12.31	0-1	1711	2035	Old Benoni Defense	1. d4 c5 2. e3 cxd4 3. exd4 d5 4. c3 Nc6
2013.12.31	1-0	1691	1717	King's Pawn Game: Leonardis Variation	1. e4 e5 2. d3 Nf6 3. Nf3 d5 4. Nc3 Nc6
2013.12.31	1-0	1539	1205	Nimzowitsch Defense: Scandinavian Variation, Advance Variation	1. e4 d5 2. e5 Nc6 3. d4 g6 4. Bg5 Bg7
2013.12.31	0-1	1291	1262	Philidor Defense #3	1. e4 e5 2. Nf3 d6 3. Bc4 h6 4. Bb3 Nf6
2013.12.31	1-0	1766	1832	Sicilian Defense: Modern Variations, Main Line	1. e4 c5 2. Nf3 d6 3. d4 cxd4 4. Nxd4 Nf6
2013.12.31	1-0	1478	1790	King's Gambit Accepted, King's Knight Gambit	1. e4 e5 2. f4 exf4 3. Nf3 f6 4. Bc4 Bc5
2013.12.31	0-1	2103	2058	Caro-Kann Defense: Advance Variation, Bayonet Attack	1. e4 c6 2. d4 d5 3. e5 Bf5 4. g4 Bg6
2013.12.31	1-0	1405	1668	French Defense: Queen's Knight	1. e4 e6 2. Nc3 c6 3. f4 d5 4. f5 exf5
2013.12.31	1-0	1503	1688	Modern Defense	1. e4 g6 2. Bc4 Bg7 3. c3 Nf6 4. e5 Ng4
2013.12.31	0-1	1801	1715	Slav Defense: Three Knights Variation	1. d4 d5 2. c4 c6 3. Nc3 Nf6 4. Nf3 Bf5
2013.12.31	1-0	1724	1957	Scandinavian Defense: Modern Variation #2	1. e4 d5 2. exd5 Nf6 3. Bb5+ Bd7 4. Bxd7+ Qxd7
2013.12.31	0-1	1647	1605	Philidor Defense #4	1. e4 e5 2. Nf3 d6 3. Bc4 Be7 4. O-O Nf6
2013.12.31	0-1	1309	1622	Indian Game: Normal Variation	1. d4 Nf6 2. c4 a6 3. Nc3 b6 4. e4 Bb7
