Date	Result	WhiteElo	BlackElo	Opening	Moves
2019.06.01	1-0	1588	1569	Robatsch (Modern) Defense	1. e4 g6 2. d4 Bg7 3. c3 d6 4. Bd3 Nf6
2019.06.01	1-0	1276	1259	King's Gambit Accepted, Schallopp Defense	1. e4 e5 2. f4 exf4 3. Nf3 Nf6 4. d4 Nxe4
2019.06.01	0-1	1255	1236	Van't Kruijs Opening	1. e3 d5 2. f3 e5 3. a3 Bd7 4. b4 Bc6
2019.06.01	0-1	1309	1282	Queen's Pawn Game: Zukertort Variation	1. d4 d5 2. Nf3 e6 3. Bf4 Nc6 4. e3 a6
2019.06.01	1-0	1156	1174	Dutch Defense	1. d4 f5 2. Bf4 e6 3. e3 Nf6 4. Be2 Be7
2019.06.01	1-0	1946	1982	Scandinavian Defense: Modern Variation #2	1. e4 d5 2. exd5 Nf6 3. f4 Nxd5 4. Nf3 Nc6
2019.06.01	0-1	1734	1752	Sicilian Defense: McDonnell Attack	1. e4 c5 2. f4 Nc6 3. Nf3 g6 4. Bc4 Bg7
2019.06.01	1-0	1396	1290	French Defense: Queen's Knight	1. e4 e6 2. Nc3 d5 3. exd5 exd5 4. d4 Qf6
2019.06.01	0-1	1034	1063	Scandinavian Defense: Mieses-Kotroc Variation	1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd8 4. Nf3 Nc6
2019.06.01	0-1	1500	1812	Bishop's Opening: Berlin Defense	1. e4 e5 2. Bc4 Nf6 3. Qf3 Bc5 4. d3 d6
2019.06.01	0-1	1772	1741	Queen's Pawn Game: London System	1. d4 d5 2. Bf4 Nf6 3. Nf3 e6 4. c3 c5
2019.06.01	0-1	1408	1420	Van't Kruijs Opening	1. e3 g6 2. b3 Bg7 3. Nc3 b5 4. Bb2 b4
2019.06.01	0-1	818	1035	Vienna Game: Stanley Variation, Three Knights Variation	1. e4 e5 2. Nc3 Nc6 3. Bc4 Nf6 4. Qf3 Bc5
2019.06.01	0-1	1540	2008	Pirc Defense: Classical Variation	1. e4 d6 2. d4 Nf6 3. Nf3 g6 4. Nc3 Bg7
2019.06.01	0-1	1812	1713	King's Gambit Accepted, Fischer Defense	1. e4 e5 2. f4 exf4 3. Nf3 d6 4. Bc4 Bg4
2019.06.01	0-1	1371	1420	King's Pawn Game: Wayward Queen Attack	1. e4 e5 2. Qh5 Nc6 3. c3 g6 4. Qf3 Nf6
2019.06.01	1-0	1828	1796	Pirc Defense: Classical Variation, Schlechter Variation	1. e4 g6 2. d4 Bg7 3. Nf3 d6 4. h3 Nf6
2019.06.01	1-0	2090	1929	Caro-Kann Defense: Panov Attack	1. e4 c6 2. d4 d5 3. exd5 cxd5 4. c4 Nf6
2019.06.01	1-0	1341	1388	Giuoco Piano	1. e4 e5 2. Nf3 Nc6 3. Bc4 Bc5 4. O-O d6
2019.06.01	0-1	1041	1005	King's Pawn Game: Wayward Queen Attack	1. e4 e5 2. Qh5 d6 3. h3 g6 4. Qf3 Bh6
2019.06.01	1-0	1194	1141	King's Pawn Game: Damiano Defense	1. e4 e5 2. Nf3 f6 3. d3 Nc6 4. a3 Nd4
2019.06.01	0-1	1840	2028	Sicilian Defense: Open	1. e4 c5 2. Nf3 Nc6 3. d4 cxd4 4. Nxd4 Nf6
2019.06.01	1-0	1103	1138	Queen's Gambit Declined: Vienna Variation	1. d4 Nf6 2. c4 d5 3. Nc3 dxc4 4. Nf3 e6
2019.06.01	1-0	1507	1523	Sicilian Defense: Open #3	1. e4 c5 2. Nf3 Nc6 3. d4 cxd4 4. Nxd4 Nxd4
2019.06.01	0-1	1495	1500	King's Knight Opening: Normal Variation	1. e4 e5 2. Nf3 Nc6 3. b3 Nf6 4. d3 Bc5
2019.06.01	0-1	1266	1277	King's Pawn Game: McConnell Defense	1. e4 e5 2. Nf3 Qf6 3. Bc4 c6 4. O-O Be7
2019.06.01	1-0	1875	1817	Anderssen Opening	1. a3 d5 2. b4 Nf6 3. Bb2 g6 4. f3 Bg7
2019.06.01	1-0	1456	1507	Caro-Kann Defense: Hillbilly Attack	1. e4 c6 2. Bc4 d5 3. exd5 cxd5 4. Bb3 e6
2019.06.01	0-1	1073	1115	Ruy Lopez: Bird Variation	1. e4 e5 2. Nf3 Nc6 3. Bb5 Nd4 4. Nxd4 exd4
2019.06.01	1-0	1439	1437	Modern Defense: Standard Defense	1. d4 g6 2. e4 Bg7 3. Nc3 d6 4. Bf4 Nf6
2019.06.01	0-1	1066	913	Modern Defense	1. d4 g6 2. Bf4 Bg7 3. e3 Nf6 4. Nf3 O-O
2019.06.01	1-0	1256	1165	Nimzo-Larsen Attack: Modern Variation #3	1. b3 e5 2. Bb2 Nc6 3. Nf3 Nf6 4. e4 d6
2019.06.01	0-1	1357	1426	Alekhine Defense	1. e4 Nf6
2019.06.01	1/2-1/2	1881	1785	Scandinavian Defense: Modern Variation #2	1. e4 d5 2. exd5 Nf6 3. Bb5+ c6 4. dxc6 bxc6
2019.06.01	0-1	1720	1623	Sicilian Defense: Bowdler Attack	1. e4 c5 2. Bc4 Nc6 3. Qf3 e6 4. d3 Ne5
2019.06.01	1-0	2139	2046	Pirc Defense: Roscher Gambit	1. e4 d6 2. Nf3 Nf6 3. d4 Nxe4 4. Bd3 Nf6
2019.06.01	0-1	1510	1771	French Defense	1. e4 e6 2. d4 d5 3. Bb5+ c6 4. Ba4 Nf6
2019.06.01	1-0	2198	1907	Indian Game: Budapest Defense	1. d4 Nf6 2. c4 e5 3. Nc3 exd4 4. Qxd4 Nc6
2019.06.01	1-0	1345	1259	Russian Game: Three Knights Game	1. e4 e5 2. Nf3 Nf6 3. Nc3 d6 4. Bc4 h6
2019.06.01	0-1	1395	1382	Queen's Gambit Declined	1. d4 d5 2. c4 e6 3. c5 c6 4. e3 Nf6
2019.06.01	0-1	1724	1532	King's Pawn Game: Wayward Queen Attack	1. e4 e5 2. Qh5 g6 3. Qxe5+ Qe7 4. Qxh8 Nh6
2019.06.01	0-1	1721	1753	King's Gambit Accepted, King's Knight Gambit	1. e4 e5 2. f4 exf4 3. Nf3 g5 4. Bc4 d6
2019.06.01	0-1	1470	1508	Modern Defense	1. d4 g6 2. e3 Bg7 3. c3 d6 4. Nd2 Nf6
2019.06.01	0-1	1689	1671	Scandinavian Defense: Kloosterboer Gambit	1. e4 d5 2. exd5 c6 3. dxc6 e5 4. b3 Bc5
2019.06.01	0-1	2242	2130	King's Indian Attack	1. Nf3 d5 2. g3 Nf6 3. Bg2 e6 4. O-O b6
2019.06.01	1/2-1/2	2387	2326	French Defense: Tarrasch Variation, Closed Variation, Main Line	1. e4 e6 2. d4 d5 3. Nd2 Nf6 4. e5 Nfd7
2019.06.01	0-1	1718	1689	King's Gambit Declined, Queen's Knight Defense	1. e4 e5 2. f4 Nc6 3. Nf3 d6 4. Bb5 Bg4
2019.06.01	1-0	1719	1739	Italian Game: Giuoco Pianissimo, Normal	1. e4 e5 2. Nf3 Nc6 3. Bc4 Bc5 4. d3 Nf6
2019.06.01	1-0	1421	1464	Queen's Pawn Game: Mason Attack	1. d4 d5 2. Bf4 b6 3. e3 Bb7 4. Nf3 h6
2019.06.01	1-0	1407	1393	Van't Kruijs Opening	1. e3 f5 2. g3 Nf6 3. Bg2 d5 4. b3 e5
2019.06.01	1-0	1942	2010	Queen's Pawn Game: London System	1. d4 d5 2. Nf3 Nf6 3. Bf4 Bf5 4. h3 e6
2019.06.01	1-0	1549	1566	Queen's Pawn Game: Mason Attack	1. d4 d5 2. Bf4 Nc6 3. c4 Nf6 4. c5 e6
2019.06.01	1-0	1235	1107	Van't Kruijs Opening	1. e3 d5 2. c4 dxc4 3. Bxc4 Bf5 4. Qf3 e6
2019.06.01	0-1	1607	1615	Sicilian Defense: Dragon Variation, Classical Variation	1. e4 c5 2. Nf3 Nc6 3. d4 cxd4 4. Nxd4 d6
2019.06.01	1-0	1073	1007	French Defense #2	1. e4 e6 2. Bc4 Bc5 3. Qf3 d5 4. exd5 exd5
2019.06.01	1-0	1743	1718	King's Gambit Declined: Falkbeer Countergambit	1. e4 e5 2. f4 d5 3. Qe2 Bc5 4. Nf3 Ne7
2019.06.01	0-1	1144	1727	Hungarian Opening	1. g3 d5 2. b3 e5 3. Bh3 f5 4. Bb2 Bd6
2019.06.01	0-1	1500	1534	Queen's Pawn Game: Mason Attack	1. d4 d5 2. Bf4 Nf6 3. Nc3 Bf5 4. e3 e6
2019.06.01	1/2-1/2	1640	1595	King's Gambit Accepted, Fischer Defense	1. e4 e5 2. f4 exf4 3. Nf3 d6 4. d4 Nf6
2019.06.01	1-0	1817	1738	Four Knights Game: Italian Variation	1. e4 e5 2. Nf3 Nc6 3. Nc3 Nf6 4. Bc4 d6
2019.06.01	0-1	1407	1757	Danish Gambit	1. e4 e5 2. d4 exd4 3. c3 Qe7 4. Bd3 d5
2019.06.01	0-1	1600	2070	Scandinavian Defense: Modern Variation #2	1. e4 d5 2. exd5 Nf6 3. Nf3 Nxd5 4. d3 Nc6
2019.06.01	1-0	1655	1661	Bishop's Opening: Boi Variation	1. e4 e5 2. Bc4 Bc5 3. Qf3 Qf6 4. d3 Qxf3
2019.06.01	1-0	967	841	Bishop's Opening: Berlin Defense	1. e4 e5 2. Bc4 Nf6 3. a3 c6 4. Nc3 d5
2019.06.01	1-0	1812	1751	French Defense: Advance Variation	1. e4 e6 2. d4 d5 3. e5 c5 4. c3 Nc6
2019.06.01	0-1	1946	2043	Sicilian Defense: Dragon Variation, Yugoslav Attack, Early Deviations	1. e4 c5 2. Nf3 d6 3. d4 cxd4 4. Nxd4 g6
2019.06.01	0-1	1629	1614	Caro-Kann Defense	1. e4 c6 2. Nf3 d5 3. exd5 cxd5 4. d4 a6
2019.06.01	0-1	1293	1288	Queen's Pawn Game #3	1. d4 d5 2. e3 Nf6 3. Nc3 Bf5 4. a4 e6
2019.06.01	0-1	1700	1735	Queen's Pawn Game: Zukertort Variation	1. d4 d5 2. Nf3 c6 3. Bf4 a6 4. Nc3 Bg4
2019.06.01	0-1	1331	1377	Sicilian Defense: Old Sicilian	1. e4 c5 2. Nf3 Nc6 3. Bc4 d6 4. d4 cxd4
2019.06.01	1-0	1909	1828	Sicilian Defense: Accelerated Dragon	1. e4 c5 2. Nf3 Nc6 3. d4 cxd4 4. Nxd4 g6
