Date	Result	WhiteElo	BlackElo	Opening	Moves
2020.07.01	1-0	1340	1436	King's Pawn Game: Napoleon Attack	1. e4 e5 2. Qf3 Nc6 3. Bc4 Qf6 4. Qb3 Nd4
2020.07.01	0-1	2199	2156	Hungarian Opening: Slav Formation	1. g3 d5 2. Bg2 c6 3. Nf3 Nd7 4. O-O Ngf6
2020.07.01	1-0	1680	1426	Van't Kruijs Opening	1. e3 e5 2. g3 Nf6 3. Bg2 Nc6 4. Ne2 d5
2020.07.01	1-0	1864	1500	King's Pawn Game: Leonardis Variation	1. e4 e5 2. d3 d5 3. Nc3 d4 4. Nce2 c5
2020.07.01	0-1	1853	2111	Pirc Defense	1. e4 d6 2. d4 Nf6 3. Bd3 g6 4. h3 Bg7
2020.07.01	1-0	1919	1718	Queen's Pawn	1. d4
2020.07.01	1-0	1569	1905	King's Gambit Declined, Mafia Defense	1. e4 c5 2. f4 e5 3. fxe5 Qh4+ 4. g3 Qxe4+
2020.07.01	1-0	2146	1862	Dutch Defense	1. d4 f5 2. Bf4 Nf6 3. e3 g6 4. h4 Bg7
2020.07.01	0-1	1762	2006	Bird Opening: From's Gambit	1. f4 e5 2. fxe5 d6 3. Nf3 dxe5 4. e4 Bc5
2020.07.01	1-0	2126	1482	Sicilian Defense: French Variation	1. Nf3 c5 2. e4 e6 3. d3 d6 4. g3 Nf6
2020.07.01	1-0	2156	1677	Slav Defense: Exchange Variation	1. d4 d5 2. c4 c6 3. cxd5 cxd5 4. Nc3 Bf5
2020.07.01	1-0	2102	1152	King's Pawn	1. e4
2020.07.01	1-0	1540	2143	Van't Kruijs Opening	1. e3
2020.07.01	1-0	1737	2166	Queen's Pawn	1. d4
2020.07.01	0-1	1363	2115	Sicilian Defense: Bowdler Attack	1. e4 c5 2. Bc4 e6 3. d4 cxd4 4. Qxd4 Nc6
2020.07.01	1-0	1802	2206	Nimzowitsch Defense: Franco-Nimzowitsch Variation	1. e4 Nc6 2. Nf3 e6 3. d4 a5 4. Bb5 Nge7
2020.07.01	0-1	1922	2304	London System	1. d4 Nf6 2. Bf4 g6 3. Nf3 Bg7 4. c3 d5
2020.07.01	1-0	2307	1938	King's Pawn	1. e4
2020.07.01	1-0	2243	1913	Polish Defense	1. d4 b5 2. Nf3 Bb7 3. Nbd2 e6 4. e4 a6
2020.07.01	0-1	2017	2313	Scandinavian Defense: Modern Variation	1. e4 d5 2. exd5 Nf6 3. Nc3 Nxd5 4. Nxd5 Qxd5
2020.07.01	1-0	2434	2037	Indian Game: Knights Variation	1. d4 Nf6 2. Nf3 e6 3. c3 c5 4. Bg5 cxd4
