Date	Result	WhiteElo	BlackElo	Opening	Moves
2017.05.31	0-1	1732	1708	Four Knights Game: Italian Variation	1. e4 e5 2. Nf3 Nc6 3. Bc4 Bc5 4. Nc3 Nf6
2017.05.31	0-1	1447	1516	Scandinavian Defense: Mieses-Kotroc Variation	1. e4 d5 2. exd5 Qxd5 3. Nf3 a6 4. d4 f6
2017.05.31	1-0	1604	1391	Bishop's Opening: Berlin Defense	1. e4 e5 2. Bc4 Nf6 3. Bxf7+ Kxf7 4. Nf3 Be7
2017.05.31	0-1	1662	1951	Sicilian Defense	1. e4 c5 2. e5 e6 3. Nf3 Nc6 4. d4 cxd4
2017.05.31	0-1	1613	1648	Pirc Defense #4	1. e4 d6 2. Nf3 Nf6 3. Nc3 Nbd7 4. Bc4 h6
2017.05.31	0-1	2098	2365	Sicilian Defense: Canal-Sokolsky Attack	1. e4 c5 2. Nf3 d6 3. Bb5+ Nd7 4. c3 Nf6
2017.05.31	1-0	1458	1547	Sicilian Defense	1. e4 c5 2. Qh5 Nf6 3. Qf3 d6 4. d3 Bg4
2017.05.31	0-1	1561	1707	Scandinavian Defense: Mieses-Kotroc Variation	1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd8 4. Bc4 e6
2017.05.31	1-0	1256	1203	Van't Kruijs Opening	1. e3 e5 2. g3 d5 3. Nf3 e4 4. Ne5 Bd6
2017.05.31	1-0	1780	1755	Philidor Defense #2	1. e4 e5 2. Nf3 d6 3. h3 Nf6 4. Nc3 g6
2017.05.31	0-1	2049	2113	Bishop's Opening: Vienna Hybrid, Hromadka Variation	1. e4 Nc6 2. Nc3 e5 3. Bc4 Nf6 4. d3 Bb4
2017.05.31	0-1	1616	1648	French Defense: King's Indian Attack	1. e4 e6 2. d3 d5 3. exd5 exd5 4. Nf3 Nf6
2017.05.31	0-1	1957	2012	Horwitz Defense	1. d4 e6 2. c4 d6 3. Nc3 Be7 4. e4 Bf6
2017.05.31	1-0	2198	2123	Indian Game	1. d4 Nf6 2. Bf4 e6 3. Nd2 Be7 4. e3 d5
2017.05.31	1-0	1677	1755	Caro-Kann Defense: Classical Variation, Main Line	1. e4 c6 2. d4 d5 3. Nc3 dxe4 4. Nxe4 Bf5
2017.05.31	0-1	1454	1539	Hungarian Opening: Symmetrical Variation	1. g3 g6 2. Bg2 Bg7 3. d3 Nf6 4. e3 O-O
2017.05.31	1-0	1850	1814	Hungarian Opening	1. g3 b6 2. Bg2 c6 3. b3 Bb7 4. Bb2 d5
2017.05.31	0-1	1422	1454	English Opening: Agincourt Defense #3	1. Nf3 e6 2. c4 Nf6 3. Nc3 Nc6 4. e3 Be7
2017.05.31	1-0	1566	1544	Sicilian Defense: Open	1. e4 c5 2. Nf3 Nc6 3. d4 cxd4 4. Nxd4 Nf6
2017.05.31	0-1	1415	1399	Mikenas Defense: Pozarek Gambit	1. d4 Nc6 2. c4 e5 3. dxe5 Nxe5 4. Nc3 Nxc4
2017.05.31	0-1	1947	1858	Sicilian Defense: Najdorf Variation	1. e4 c5 2. Nf3 d6 3. d4 cxd4 4. Nxd4 Nf6
2017.05.31	1-0	1293	1244	French Defense: Normal Variation	1. e4 e6 2. d4 Ne7 3. Nf3 g6 4. Nc3 Bg7
2017.05.31	1-0	1443	1489	Center Game #2	1. e4 e5 2. d4 Bd6 3. Nf3 Nc6 4. Bb5 Nf6
2017.05.31	0-1	1591	1615	English Opening: King's English Variation	1. c4 e5 2. Nc3 d6 3. Nf3 Be6 4. e4 Nf6
2017.05.31	1-0	1905	1899	Italian Game: Hungarian Defense	1. e4 e5 2. Nf3 Nc6 3. Bc4 Be7 4. c3 Nf6
2017.05.31	0-1	2071	2056	Bird Opening	1. f4 c5 2. e3 Nc6 3. c3 g6 4. d4 Bg7
2017.05.31	1-0	1463	1216	King's Pawn	1. e4
2017.05.31	1-0	1832	1831	Sicilian Defense: Bowdler Attack	1. e4 c5 2. Bc4 Nc6 3. Nf3 e6 4. Nc3 Nge7
2017.05.31	0-1	1840	1839	Sicilian Defense: Closed Variation, Fianchetto Variation	1. e4 c5 2. Nc3 Nc6 3. g3 d6 4. Bg2 Nf6
2017.05.31	0-1	1965	1994	Indian Game	1. d4 Nf6 2. e3 g6 3. Nf3 Bg7 4. a3 O-O
2017.05.31	1-0	2025	2031	Scandinavian Defense: Mieses-Kotroc Variation	1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd8 4. d4 c6
2017.05.31	1-0	1761	1777	Sicilian Defense: Najdorf, Lipnitsky Attack	1. e4 c5 2. Nf3 d6 3. d4 cxd4 4. Nxd4 Nf6
2017.05.31	0-1	1673	1657	Sicilian Defense: Loewenthal Variation	1. e4 c5 2. Nf3 Nc6 3. d4 cxd4 4. Nxd4 e5
