name,value,parent
Sicilian Defense,25270,Origin
Queen's Pawn Game,13561,Origin
French Defense,12287,Origin
Scandinavian Defense,9550,Origin
English Opening,7289,Origin
Caro-Kann Defense,6913,Origin
Italian Game,6475,Origin
King's Pawn Game,5943,Origin
Modern Defense,5391,Origin
Zukertort Opening,4748,Origin
Origin,,
