Date	Result	WhiteElo	BlackElo	Opening	Moves
2019.01.31	0-1	1398	1386	Four Knights Game: Italian Variation	1. e4 e5 2. Nf3 Nc6 3. Bc4 Nf6 4. Nc3 Bc5
2019.01.31	0-1	1508	1471	Van't Kruijs Opening	1. e3 Nf6 2. b3 Ne4 3. Bb2 e6 4. d3 Nxf2
2019.01.31	1-0	1721	1648	Caro-Kann Defense: Advance Variation	1. e4 c6 2. d4 d5 3. e5 Bf5 4. Bd3 Bg6
2019.01.31	0-1	1332	1278	Queen's Gambit Refused: Baltic Defense	1. d4 d5 2. c4 Bf5 3. c5 e5 4. e3 Nc6
2019.01.31	1-0	1540	1550	Van't Kruijs Opening	1. e3 e5 2. Nf3 Nc6 3. Nc3 a6 4. b4 h6
2019.01.31	1-0	1364	1355	Sicilian Defense: Bowdler Attack	1. e4 c5 2. Bc4 a6 3. Qf3 e6 4. Nc3 b5
2019.01.31	1-0	1576	1633	Modern Defense	1. d4 g6 2. Bf4 Bg7 3. Nf3 c5 4. c3 cxd4
2019.01.31	1-0	1640	1500	English Opening: Great Snake Variation	1. c4 g6 2. g3 Bg7 3. Bg2 Nf6 4. d3 c5
2019.01.31	1-0	1965	1941	Caro-Kann Defense	1. e4 c6 2. f4 d5 3. e5 Bf5 4. d3 e6
2019.01.31	0-1	1566	1539	Bishop's Opening: Boi Variation	1. e4 e5 2. Bc4 Bc5 3. Nf3 d6 4. O-O Nf6
2019.01.31	0-1	1827	1831	Queen's Gambit Declined: Modern Variation, Normal Line	1. d4 Nf6 2. c4 e6 3. Nc3 d5 4. Bg5 Be7
2019.01.31	1-0	1770	1760	Modern Defense: Standard Line	1. d4 g6 2. Nc3 Bg7 3. e4 Nc6 4. Nf3 d6
2019.01.31	1-0	1043	1047	Queen's Pawn Game	1. d4 d5 2. g3 e6 3. Bg2 Bb4+ 4. c3 Bd6
2019.01.31	1-0	1580	1570	Sicilian Defense: Hyperaccelerated Fianchetto	1. e4 c5 2. Nf3 g6 3. d4 cxd4 4. Nxd4 Bg7
2019.01.31	0-1	1469	1463	King's Pawn Game: Leonardis Variation	1. e4 e5 2. d3 Nf6 3. Nc3 Bc5 4. Be3 d6
2019.01.31	1-0	2141	2104	Sicilian Defense: Closed	1. e4 c5 2. Nc3 e6 3. f4 Nc6 4. Nf3 a6
2019.01.31	0-1	1566	1664	Queen's Pawn Game #2	1. d4 d5 2. e3 e6 3. Bd3 c6 4. f4 Nf6
2019.01.31	0-1	936	829	Italian Game	1. e4 e5 2. Nf3 Nc6 3. Bc4 Nge7 4. c3 d5
