Date	Result	WhiteElo	BlackElo	Opening	Moves
2016.06.30	1-0	1901	1896	Slav Defense	1. d4 d5 2. c4 c6 3. e3 a6 4. Nf3 e5
2016.06.30	0-1	1641	1627	King's Pawn Opening: 2.b3	1. e4 e5 2. b3 Nf6 3. Bb2 Nc6 4. Nf3 d6
2016.06.30	1-0	1647	1688	Scandinavian Defense: Mieses-Kotroc Variation	1. e4 d5 2. exd5 Qxd5 3. Nf3 Bg4 4. Be2 Nf6
2016.06.30	1-0	1706	1317	Van't Kruijs Opening	1. e3 Nf6 2. Bc4 d6 3. e4 e6 4. Nf3 Nxe4
2016.06.30	0-1	1945	1900	Sicilian Defense: Najdorf, Lipnitsky Attack	1. e4 c5 2. Nf3 d6 3. d4 cxd4 4. Nxd4 Nf6
2016.06.30	0-1	1773	1809	Vienna Game	1. e4 e5 2. Nc3 d6 3. Nf3 h6 4. Bc4 c6
2016.06.30	0-1	1895	1886	Caro-Kann Defense: Two Knights Attack	1. e4 c6 2. Nf3 d5 3. Nc3 dxe4 4. Nxe4 Nf6
2016.06.30	1-0	2155	2356	Queen's Pawn Game: London System	1. d4 d5 2. Nf3 Nf6 3. Bf4 c6 4. e3 Bg4
2016.06.30	0-1	2010	2111	Indian Game	1. d4 Nf6 2. Bf4 e6 3. e3 d5 4. Nf3 h6
2016.06.30	1-0	1764	1773	Scandinavian Defense: Mieses-Kotroc Variation	1. e4 d5 2. exd5 Qxd5 3. Nf3 Nf6 4. Be2 c6
2016.06.30	0-1	1649	1638	Italian Game: Two Knights Defense, Traxler Counterattack, Knight Sacrifice Line	1. e4 e5 2. Nf3 Nc6 3. Bc4 Nf6 4. Ng5 Bc5
2016.06.30	1-0	1630	1500	Philidor Defense #3	1. e4 e5 2. Nf3 d6 3. Bc4 Nc6 4. d3 Na5
2016.06.30	1-0	1833	1837	King's Gambit Accepted, Modern Defense	1. e4 e5 2. f4 exf4 3. Nf3 d5 4. e5 f6
2016.06.30	1-0	2020	1979	Polish Opening	1. b4 e6 2. Bb2 d5 3. Nf3 Nf6 4. b5 Be7
2016.06.30	0-1	1581	1616	Scandinavian Defense: Mieses-Kotroc Variation	1. e4 d5 2. exd5 Qxd5 3. d4 Qa5+ 4. Bd2 Qb6
2016.06.30	0-1	1879	1868	Scandinavian Defense: Main Line	1. e4 d5 2. exd5 Qxd5 3. Nc3 Qa5 4. Nf3 c6
2016.06.30	1-0	1963	1979	Caro-Kann Defense: Two Knights Attack	1. e4 c6 2. Nf3 d5 3. Nc3 g6 4. d3 Bg7
2016.06.30	1-0	1751	1712	Ruy Lopez: Steinitz Defense	1. e4 e5 2. Nf3 Nc6 3. Bb5 d6 4. d4 Bd7
2016.06.30	0-1	1795	1800	Sicilian Defense: Franco-Sicilian Variation	1. e4 c5 2. Nf3 e6 3. d4 Nc6 4. d5 Nb4
2016.06.30	1-0	1913	1925	Caro-Kann Defense: Advance Variation, Bayonet Attack	1. e4 c6 2. d4 d5 3. e5 Bf5 4. g4 Bd7
2016.06.30	1-0	1707	1739	Scandinavian Defense	1. e4 d5 2. e5 Bf5 3. d4 e6 4. Nc3 Nc6
2016.06.30	1/2-1/2	1512	1570	Ruy Lopez: Steinitz Defense	1. e4 e5 2. Nf3 Nc6 3. Bb5 d6 4. Bxc6+ bxc6
2016.06.30	1-0	1816	1815	Sicilian Defense: Kan Variation, Maroczy Bind, Reti Variation	1. e4 c5 2. Nf3 e6 3. d4 cxd4 4. Nxd4 a6
2016.06.30	0-1	1891	1930	Ruy Lopez: Morphy Defense, Arkhangelsk Variation	1. e4 e5 2. Nf3 Nc6 3. Bb5 a6 4. Ba4 Nf6
2016.06.30	0-1	1747	1731	Three Knights Opening #2	1. e4 e5 2. Nf3 Nc6 3. Nc3 Bb4 4. a3 Ba5
2016.06.30	1-0	1682	1739	Pirc Defense #4	1. e4 d6 2. Nf3 Nf6 3. Nc3 Bg4 4. d4 e6
2016.06.30	0-1	2149	2047	Pirc Defense	1. e4 d6 2. d4 Nf6 3. Bd3 g6 4. h4 c5
2016.06.30	1-0	1604	1604	French Defense: Knight Variation	1. e4 e6 2. Nf3 d5 3. d3 dxe4 4. dxe4 Qxd1+
2016.06.30	1-0	1619	1540	Scandinavian Defense	1. e4 d5 2. Nc3 d4 3. Nd5 c5 4. Bc4 e6
2016.06.30	1-0	1624	1614	Russian Game: Classical Attack	1. e4 e5 2. Nf3 Nf6 3. Nxe5 d6 4. Nf3 Nxe4
2016.06.30	0-1	1881	1861	Sicilian Defense: Open #3	1. d4 c5 2. e4 cxd4 3. Nf3 Nc6 4. Nxd4 Nxd4
2016.06.30	0-1	1753	1744	Alekhine Defense: Scandinavian Variation	1. e4 Nf6 2. Nc3 d5 3. e5 d4 4. exf6 dxc3
2016.06.30	0-1	1839	1852	French Defense: Chigorin Variation	1. e4 e6 2. Qe2 Be7 3. Nf3 d5 4. exd5 exd5
2016.06.30	1-0	1408	1405	French Defense: Normal Variation	1. e4 e6 2. d4 b6 3. Nc3 Bb4 4. Bd2 Bb7
2016.06.30	0-1	1876	1897	Ruy Lopez: Classical Variation	1. e4 e5 2. Nf3 Nc6 3. Bb5 Bc5 4. O-O d6
2016.06.30	1-0	1412	1488	King's Pawn	1. e4
2016.06.30	0-1	1886	1928	Pirc Defense: Roscher Gambit	1. e4 d6 2. Nf3 Nf6 3. d4 g6 4. e5 dxe5
2016.06.30	0-1	1376	1419	Horwitz Defense	1. d4 e6 2. Nf3 Ne7 3. Bf4 Ng6 4. e3 Nxf4
2016.06.30	1-0	1767	1748	Sicilian Defense: French Variation	1. e4 c5 2. Nf3 e6 3. Bc4 Qc7 4. Nc3 Nc6
2016.06.30	1-0	2215	2072	French Defense: Winawer Variation, Advance Variation	1. e4 e6 2. d4 d5 3. Nc3 Bb4 4. e5 c5
2016.06.30	1-0	1580	1571	Queen's Pawn Game: Zukertort Variation	1. d4 d5 2. Nf3 e5 3. dxe5 c6 4. h3 Nd7
2016.06.30	0-1	1787	1842	English Opening: Symmetrical Variation	1. c4 c5 2. b3 Nc6 3. Bb2 d5 4. e3 d4
2016.06.30	1-0	1939	1965	Sicilian Defense: French Variation, Normal	1. e4 c5 2. Nf3 e6 3. d4 cxd4 4. Nxd4 Nf6
