name,value,parent
Sicilian Defense,22641,Origin
French Defense,12463,Origin
Queen's Pawn Game,10456,Origin
Scandinavian Defense,9390,Origin
English Opening,6705,Origin
King's Pawn Game,6545,Origin
Italian Game,6399,Origin
Caro-Kann Defense,6373,Origin
Modern Defense,4928,Origin
Ruy Lopez,4762,Origin
