Date	Result	WhiteElo	BlackElo	Opening	Moves
2017.06.30	1-0	1190	1554	Hungarian Opening	1. g3 d5 2. Bg2 Qd6 3. Nf3 Qb4 4. O-O Qg4
2017.06.30	1-0	2065	1986	Sicilian Defense: Open	1. e4 c5 2. Nf3 Nc6 3. d4 cxd4 4. Nxd4 Nf6
2017.06.30	0-1	1562	1809	Sicilian Defense: French Variation	1. e4 c5 2. Nf3 e6 3. Nc3 g6 4. d3 Bg7
2017.06.30	0-1	1963	1924	Queen's Gambit Accepted: Old Variation	1. d4 d5 2. c4 dxc4 3. e3 e5 4. Bxc4 Nc6
2017.06.30	1-0	1374	1344	Kangaroo Defense	1. d4 e6 2. c4 Bb4+ 3. Bd2 Bxd2+ 4. Nxd2 Qf6
2017.06.30	0-1	1223	1481	Center Game: Normal Variation	1. e4 e5 2. d4 exd4 3. Qxd4 Nc6 4. Qc3 Bb4
2017.06.30	1-0	1733	1776	King's Pawn	1. e4
2017.06.30	0-1	1633	1625	Sicilian Defense: Bowdler Attack	1. e4 c5 2. Bc4 g6 3. Nc3 Bg7 4. Nf3 a6
2017.06.30	0-1	1502	1462	King's Gambit, Falkbeer Countergambit Accepted	1. e4 e5 2. f4 d5 3. exd5 Qxd5 4. Nc3 Qd8
2017.06.30	1-0	1433	1314	King's Knight Opening	1. e4 e5 2. Nf3 Bb4 3. c3 Nc6 4. cxb4 Nxb4
2017.06.30	0-1	1942	1945	English Opening: Anglo-Scandinavian Defense	1. c4 d5 2. cxd5 c6 3. dxc6 Nxc6 4. Nc3 e5
2017.06.30	0-1	1307	1307	Queen's Gambit Accepted: Old Variation	1. d4 d5 2. c4 dxc4 3. e3 Nf6 4. Bxc4 Nc6
2017.06.30	1-0	1207	1104	King's Pawn Game: Damiano Defense	1. e4 e5 2. Nf3 f6 3. Nc3 c6 4. b3 a6
2017.06.30	1-0	1842	1837	Scandinavian Defense: Panov Transfer	1. e4 d5 2. exd5 Nf6 3. c4 c6 4. dxc6 Nxc6
2017.06.30	1-0	1697	1738	French Defense: Tarrasch Variation, Closed Variation	1. e4 e6 2. d4 d5 3. Nd2 Nf6 4. e5 Nfd7
2017.06.30	1-0	1337	1435	Bird Opening	1. f4 e6 2. d4 Nf6 3. Nf3 b6 4. e3 Bb7
2017.06.30	1-0	2262	2178	Sicilian Defense: Closed Variation	1. e4 c5 2. Nc3 d6 3. Nge2 Nf6 4. g3 Nc6
2017.06.30	1-0	1394	1017	King's Gambit	1. e4 e5 2. f4 f6 3. fxe5 fxe5 4. Qh5+ g6
2017.06.30	1-0	1963	1953	Danish Gambit Declined, Sorensen Defense	1. e4 e5 2. d4 exd4 3. c3 d5 4. cxd4 dxe4
2017.06.30	0-1	1570	1575	English Opening: Symmetrical Variation, Two Knights Variation	1. c4 c5 2. Nc3 Nc6 3. Nf3 e6 4. g3 d6
2017.06.30	0-1	1481	1484	Sicilian Defense: Nyezhmetdinov-Rossolimo Attack	1. e4 c5 2. Nf3 Nc6 3. Bb5 d6 4. e5 Bd7
2017.06.30	0-1	1331	1338	Sicilian Defense: Canal Attack, Main Line	1. e4 c5 2. Nf3 d6 3. Bb5+ Bd7 4. Bxd7+ Nxd7
2017.06.30	1-0	1229	1221	King's Pawn Game: Wayward Queen Attack	1. e4 e5 2. Qh5 g6 3. Qxe5+ Qe7 4. Qxh8 Qxe4+
2017.06.30	1-0	1157	1000	Sicilian Defense	1. e4 c5 2. Nf3 d5 3. exd5 Qxd5 4. Nc3 Qc6
2017.06.30	0-1	1780	1807	Sicilian Defense: McDonnell Attack	1. e4 c5 2. f4 e6 3. Nf3 Nc6 4. Bc4 d5
2017.06.30	1-0	1925	1925	Sicilian Defense: Lasker-Dunne Attack	1. e4 c5 2. g3 Nc6 3. Bg2 g6 4. d3 Bg7
2017.06.30	1-0	1739	1730	King's Indian Defense	1. d4 g6 2. c4 Bg7 3. Nc3 Nf6 4. Nf3 O-O
2017.06.30	1-0	1910	1847	Bishop's Opening	1. e4 e5 2. Bc4 Nc6 3. Ne2 Nd4 4. Nxd4 exd4
2017.06.30	1-0	1631	1688	Robatsch (Modern) Defense	1. e4 g6 2. d4 Bg7 3. Nf3 c6 4. Be2 Qb6
2017.06.30	0-1	1762	1755	Italian Game: Two Knights Defense, Polerio Defense, Bishop Check Line	1. e4 e5 2. Nf3 Nc6 3. Bc4 Nf6 4. Ng5 d5
2017.06.30	0-1	1775	1775	Alekhine Defense: Scandinavian Variation	1. e4 Nf6 2. Nc3 d5 3. exd5 Nxd5 4. Bc4 c6
2017.06.30	0-1	1292	1288	Italian Game: Anti-Fried Liver Defense	1. e4 e5 2. Nf3 Nc6 3. Bc4 h6 4. O-O Nf6
2017.06.30	1-0	2032	2070	Caro-Kann Defense: Exchange Variation, Rubinstein Variation	1. e4 c6 2. d4 d5 3. exd5 cxd5 4. Bd3 Nc6
2017.06.30	0-1	2267	2456	Sicilian Defense: Kan Variation, Knight Variation	1. e4 c5 2. Nf3 e6 3. d4 cxd4 4. Nxd4 a6
2017.06.30	0-1	1728	1708	French Defense: Two Knights Variation	1. e4 e6 2. Nf3 d5 3. Nc3 c5 4. exd5 exd5
