Date	Result	WhiteElo	BlackElo	Opening	Moves
2016.05.31	1-0	1601	1793	Bird Opening	1. f4 d6 2. Nf3 Nc6 3. b3 Nf6 4. Bb2 e6
2016.05.31	0-1	1532	1541	Scotch Game	1. e4 e5 2. Nf3 Nc6 3. d4 exd4 4. Nxd4 Nxd4
2016.05.31	1-0	1646	1639	Three Knights Opening	1. e4 e5 2. Nf3 Nc6 3. Nc3 d6 4. Bc4 Bg4
2016.05.31	0-1	1757	1659	Caro-Kann Defense: Hillbilly Attack	1. e4 c6 2. Bc4 d5 3. exd5 cxd5 4. Bb3 Nc6
2016.05.31	0-1	1829	1857	Old Benoni Defense	1. d4 c5 2. c3 d5 3. e3 Nc6 4. Nf3 e6
2016.05.31	1-0	1508	1501	Philidor Defense #2	1. e4 e5 2. Nf3 d6 3. Ke2 Nf6 4. Ke3 Nc6
2016.05.31	0-1	1425	1262	Grob Opening	1. g4 g6 2. Bg2 Bg7 3. c3 Nf6 4. g5 Nh5
2016.05.31	0-1	1959	1970	Sicilian Defense: Old Sicilian	1. e4 c5 2. Nf3 Nc6 3. Bc4 h6 4. Nc3 e5
2016.05.31	1-0	2036	2073	Queen's Gambit Refused: Marshall Defense	1. c4 Nf6 2. d4 d5 3. cxd5 Nxd5 4. Nf3 g6
2016.05.31	1-0	1578	1661	King's Pawn	1. e4
2016.05.31	1-0	1792	1780	French Defense: Two Knights Variation	1. e4 e6 2. Nf3 d5 3. Nc3 d4 4. Ne2 c5
2016.05.31	1/2-1/2	1890	1889	Sicilian Defense: Katalimov Variation	1. e4 c5 2. Nf3 b6 3. Bb5 Bb7 4. Nc3 a6
2016.05.31	1-0	2070	1918	Queen's Pawn Game: Chigorin Variation	1. d4 d5 2. Nf3 Nc6 3. e3 Bg4 4. h3 Bh5
2016.05.31	0-1	1582	1530	King's Gambit Accepted, Fischer Defense	1. e4 e5 2. f4 d6 3. Nf3 exf4 4. Bc4 Nf6
2016.05.31	1-0	1732	1758	Queen's Gambit Accepted	1. d4 d5 2. c4 dxc4 3. Nc3 Nf6 4. e4 Bg4
2016.05.31	0-1	1731	1670	English Opening: The Whale	1. e4 e5 2. c4 Nf6 3. Nc3 Bc5 4. Nf3 d6
2016.05.31	1-0	2135	2127	King's Pawn	1. e4
2016.05.31	0-1	1873	1864	Benoni Defense: Classical Variation, Averbakh-Grivas Attack	1. d4 c5 2. d5 e6 3. c4 exd5 4. cxd5 Nf6
2016.05.31	0-1	2025	1976	Semi-Slav Defense: Main Line	1. d4 d5 2. c4 c6 3. Nc3 Nf6 4. e3 e6
2016.05.31	0-1	1219	1435	Sicilian Defense: Lasker-Dunne Attack	1. e4 c5 2. g3 d6 3. Bg2 Nf6 4. Ne2 e6
2016.05.31	0-1	1500	1510	Queen's Gambit Declined: Normal Defense	1. d4 Nf6 2. c4 e6 3. Nc3 d5 4. a3 b6
2016.05.31	1-0	1724	1713	Giuoco Piano	1. e4 e5 2. Nf3 Nc6 3. Bc4 Bc5 4. h3 Nf6
2016.05.31	1-0	2110	2134	Sicilian Defense: Smith-Morra Gambit Declined, Scandinavian Formation	1. e4 c5 2. d4 cxd4 3. c3 d5 4. exd5 Nf6
2016.05.31	0-1	1710	1700	Sicilian Defense: Alapin Variation	1. e4 c5 2. c3 e6 3. d4 d5 4. exd5 Qxd5
2016.05.31	1-0	2057	2073	King's Indian Defense: Four Pawns Attack	1. d4 Nf6 2. c4 g6 3. Nc3 Bg7 4. e4 d6
